transaction_amount,hour_of_day,user_avg_amount,normal_range_min,normal_range_max,amount_deviation,location,previous_location,distance_from_prev_km,time_since_prev_hours,txns_last_10_min,txns_last_1_hour,txns_last_24_hours,is_fraud,implied_travel_speed_kmh,is_diff_location
207.4177791261589,11,502.3585381690777,200.94341526763108,904.24536870434,-0.5871120656530998,Delhi,Delhi,0.0379494386145817,12.05863922374741,0,0,1,0,0.003147074716345,0
536.1283319542273,17,810.8646035771759,324.3458414308704,1459.556286438917,-0.338818922926138,Mumbai,Mumbai,4.678866583254906,8.611383366318563,0,0,2,0,0.5433350698977369,0
581.3246867673734,11,803.4623485560722,321.38493942242894,1446.23222740093,-0.276475509011604,Hyderabad,Hyderabad,3.3218717731045544,7.757304577062212,0,0,2,0,0.4282250026545417,0
676.8601585289723,13,500.02908688841535,200.01163475536612,900.0523563991477,0.3536415706153069,Delhi,Delhi,6.271910511207555,18.985206090659805,0,0,3,0,0.3303577786439284,0
755.3404438969693,10,1888.002028998656,755.2008115994623,3398.4036521975804,-0.5999260422947844,Bengaluru,Bengaluru,10.28287974094088,30.585029655140342,0,0,2,0,0.3362063027855415,0
822.2212244127336,21,952.8733738367008,381.1493495346804,1715.1720729060614,-0.137113863196641,Kolkata,Kolkata,5.550653853513213,10.923448509630228,0,1,2,0,0.5081411651842088,0
839.9865878917325,14,737.2948420541743,294.91793682166974,1327.1307156975138,0.1392817906489744,Kolkata,Kolkata,5.556061928908977,14.096653599171884,0,0,5,0,0.3941404880116633,0
851.4267766963047,11,878.5261098402126,351.4104439360851,1581.3469977123827,-0.0308463605581816,Hyderabad,Hyderabad,18.103332778606926,14.36281429501053,0,0,2,0,1.260430748930299,0
888.8103444022693,16,845.9939649203114,338.3975859681246,1522.7891368565606,0.0506107386782492,Kolkata,Kolkata,0.0001004183879248,3.3655271047279784,0,0,3,0,2.983734339377995e-05,0
907.4775981251076,19,1343.6926142824295,537.4770457129719,2418.646705708373,-0.324638992222394,Hyderabad,Hyderabad,5.12430609996184,4.556116704952985,0,0,2,0,1.1247091397793152,0
1094.571069239899,15,783.1086290995497,313.2434516398199,1409.5955323791895,0.3977257159054445,Chennai,Chennai,2.180814312101416,102.58499348672186,0,1,1,0,0.0212586094513296,0
1104.1883009660169,11,839.1536679009444,335.6614671603777,1510.4766022217,0.3158356367887053,Jaipur,Jaipur,2.57552897624675,17.353617300055696,0,1,2,0,0.1484145312020038,0
1104.898275814537,14,1139.165558329536,455.6662233318144,2050.498004993165,-0.0300810380584609,Mumbai,Mumbai,4.398032538539061,30.77356615226138,0,0,2,0,0.1429159206566598,0
1124.7697109584738,11,1531.8958006934836,612.7583202773934,2757.4124412482706,-0.2657661764923602,Delhi,Delhi,7.526410848785403,10.14844135835127,0,0,4,0,0.741632195824025,0
1171.9224236045875,9,1581.917704270484,632.7670817081937,2847.4518676868715,-0.2591761123597573,Chennai,Chennai,1.386414716999525,11.04300827586314,0,0,1,0,0.1255468331061411,0
1180.65690265356,13,1716.1059678546862,686.4423871418745,3088.9907421384355,-0.3120139870328021,Delhi,Delhi,6.825458741294279,7.455876629056652,0,1,2,0,0.9154468456055802,0
1268.4975654152945,19,1610.4585171959163,644.1834068783666,2898.825330952649,-0.2123376343626871,Bengaluru,Bengaluru,4.207552844073118,5.34087370481156,0,0,2,0,0.7878023478223346,0
1282.2646045691613,14,1221.0135945468642,488.40543781874567,2197.8244701843555,0.0501640688489043,Chennai,Chennai,3.315863366068515,33.80609868553674,0,1,1,0,0.0980847685771899,0
1298.907811247881,18,957.0334713480648,382.8133885392259,1722.6602484265163,0.3572229709147545,Hyderabad,Hyderabad,3.523167301504751,6.592877004959028,0,0,1,0,0.5343899634188073,0
1320.5364315284894,9,968.5298602439556,387.4119440975823,1743.35374843912,0.3634442114111686,Chennai,Chennai,2.4770530604390952,6.890562950245833,0,0,1,0,0.3594848604279454,0
1349.8896387651498,15,1866.6931622432796,746.6772648973118,3360.047692037903,-0.2768551007371057,Mumbai,Mumbai,10.665466147882396,4.736604191568591,0,0,2,0,2.2517115039646964,0
1352.7434236185436,16,1443.371193075779,577.3484772303117,2598.068147536402,-0.0627889553927638,Jaipur,Jaipur,15.5648346954912,2.092294429800217,0,0,1,0,7.439122560287754,0
1375.212659774201,12,2199.2430420833634,879.6972168333455,3958.6374757500544,-0.3746881843166141,Chennai,Chennai,4.274875367288253,29.02980588040949,0,0,2,0,0.1472581451250115,0
1418.2454914822458,13,1131.657505428206,452.6630021712824,2036.9835097707708,0.2532462204150701,Mumbai,Mumbai,14.024963400511837,9.454127663107666,0,1,2,0,1.4834751444324892,0
1444.067617516224,12,2532.464346790234,1012.9857387160936,4558.435824222421,-0.4297777106530623,Delhi,Delhi,6.106158014825458,9.211147811194524,0,0,2,0,0.6629095678395802,0
1618.2490422365524,11,1075.2112296436876,430.0844918574751,1935.3802133586375,0.505052214505629,Kolkata,Kolkata,4.658643610909206,6.299674607643578,0,0,3,0,0.7395054349722665,0
1650.8094476497508,14,1766.374999771368,706.5499999085473,3179.4749995884627,-0.0654252648144224,Chennai,Chennai,8.605014833162898,65.27290123855455,0,0,3,0,0.1318313522132857,0
1699.165149417874,19,1650.8884328370673,660.355373134827,2971.5991791067213,0.0292428704572377,Jaipur,Jaipur,15.877624626911476,1.0911747017437636,0,0,2,0,14.550946426395392,0
1743.9665826013156,17,1384.47289684109,553.789158736436,2492.051214313962,0.259661049761589,Kolkata,Kolkata,15.777133618551762,6.272638253530607,0,0,2,0,2.5152309093660024,0
1824.4184707918216,18,2484.837833629628,993.9351334518514,4472.708100533331,-0.2657796633243969,Bengaluru,Bengaluru,1.4005791643059444,4.976459398937095,0,0,1,0,0.2814408904059559,0
1901.223538794484,22,1381.202617358378,552.4810469433512,2486.16471124508,0.3764986504519323,Bengaluru,Bengaluru,6.63574118142088,11.9490530537609,0,0,4,0,0.5553361552221341,0
1926.353626119808,19,2183.581083312293,873.4324333249174,3930.445949962128,-0.1178007352959363,Kolkata,Kolkata,4.4837642158675575,12.001675669293531,0,0,4,0,0.3735948495374971,0
1959.3107615286112,17,2456.8641856284667,982.7456742513868,4422.35553413124,-0.2025156404697971,Hyderabad,Hyderabad,5.625786853535979,5.826511399514206,0,1,2,0,0.9655497891937598,0
2028.477941027879,15,1784.689586945584,713.8758347782336,3212.441256502052,0.136599863564805,Chennai,Chennai,11.803728588927331,3.792254970856291,0,1,1,0,3.112588335868685,0
2199.360004611713,18,1511.7646858229257,604.7058743291702,2721.176434481266,0.4548295943389478,Delhi,Delhi,3.881155259999,12.015246388582668,0,0,3,0,0.3230191986480625,0
2247.9019711406368,16,1556.1144750771978,622.4457900308792,2801.006055138956,0.4445608000845309,Pune,Pune,4.071059368916856,31.28058402946267,0,0,2,0,0.1301465268385779,0
